product_id,product_name,brand,price,date,quantity_sold
1,Milk,Brand A,3.5,2025-07-01,9.0
1,Milk,Brand A,3.5,2025-07-02,10.0
1,Milk,Brand A,,2025-07-03,4.0
1,Milk,Brand A,3.5,2025-07-04,0.0
1,Milk,Brand A,3.5,2025-07-05,1.0
1,Milk,Brand A,3.5,2025-07-06,
1,Milk,Brand A,3.5,2025-07-07,6.0
1,Milk,Brand A,3.5,2025-07-08,4.0
1,Milk,Brand A,3.5,2025-07-09,10.0
1,Milk,Brand A,3.5,2025-07-10,
1,Milk,Brand A,3.5,2025-07-11,10.0
1,Milk,Brand A,3.5,2025-07-12,3.0
1,Milk,Brand A,3.5,2025-07-13,0.0
1,Milk,Brand A,3.5,2025-07-14,3.0
1,Milk,Brand A,3.5,2025-07-15,6.0
1,Milk,Brand A,3.5,2025-07-16,3.0
1,Milk,Brand A,3.5,2025-07-17,6.0
1,Milk,Brand A,3.5,2025-07-18,0.0
1,Milk,Brand A,3.5,2025-07-19,4.0
1,Milk,Brand A,3.5,2025-07-20,5.0
1,Milk,Brand A,3.5,2025-07-21,5.0
1,Milk,Brand A,3.5,2025-07-22,8.0
1,Milk,Brand A,3.5,2025-07-23,1.0
1,Milk,Brand A,3.5,2025-07-24,4.0
1,Milk,Brand A,3.5,2025-07-25,9.0
1,Milk,Brand A,3.5,2025-07-26,2.0
1,Milk,Brand A,3.5,2025-07-27,4.0
1,Milk,Brand A,3.5,2025-07-28,4.0
1,Milk,Brand A,3.5,2025-07-29,10.0
1,Milk,Brand A,3.5,2025-07-30,9.0
2,Bread,,2.0,2025-07-01,4.0
2,Bread,Brand B,2.0,2025-07-02,1.0
2,Bread,Brand B,2.0,2025-07-03,6.0
2,Bread,Brand B,2.0,2025-07-04,10.0
2,Bread,Brand B,2.0,2025-07-05,7.0
2,Bread,Brand B,2.0,2025-07-06,0.0
2,Bread,Brand B,2.0,2025-07-07,3.0
2,Bread,Brand B,2.0,2025-07-08,9.0
2,Bread,Brand B,2.0,2025-07-09,8.0
2,Bread,Brand B,2.0,2025-07-10,7.0
2,Bread,Brand B,2.0,2025-07-11,6.0
2,Bread,Brand B,2.0,2025-07-12,8.0
2,Bread,Brand B,2.0,2025-07-13,
2,Bread,Brand B,2.0,2025-07-14,2.0
2,Bread,Brand B,2.0,2025-07-15,2.0
2,Bread,Brand B,2.0,2025-07-16,
2,Bread,Brand B,2.0,2025-07-17,3.0
2,Bread,Brand B,2.0,2025-07-18,1.0
2,Bread,Brand B,2.0,2025-07-19,5.0
2,Bread,Brand B,2.0,2025-07-20,7.0
2,Bread,Brand B,2.0,2025-07-21,7.0
2,Bread,Brand B,2.0,2025-07-22,1.0
2,Bread,Brand B,2.0,2025-07-23,10.0
2,Bread,Brand B,2.0,2025-07-24,1.0
2,Bread,Brand B,2.0,2025-07-25,0.0
2,Bread,Brand B,2.0,2025-07-26,2.0
2,Bread,Brand B,2.0,2025-07-27,4.0
2,Bread,Brand B,2.0,2025-07-28,
2,Bread,Brand B,2.0,2025-07-29,10.0
2,Bread,Brand B,2.0,2025-07-30,6.0
3,Eggs,Brand A,4.2,2025-07-01,0.0
